timestamp,git_commit,git_dirty,vivado_version,bitstream_sha256,board_id,net,layer,clock_mhz,source,duration_s,num_inferences,img,logits_match,pred_rtl,pred_golden,pred_match,label,model_total,rtl_total,err,cycles_ok,rtl_layer_cycles,model_layer_cycles,mac,stall
2026-09-25T08:15:19+00:00,8050f4474ff96102bb79b4ec3bc30dbe6341cf0f,False,2023.1,,,lenet5,all,,rtl_sim,60.350647891,1,0,True,7,7,True,7,16436,16436,0,True,"2829,6029,6029,1349,197","2829,6029,6029,1349,197",16288,0
2026-09-25T08:15:19+00:00,8050f4474ff96102bb79b4ec3bc30dbe6341cf0f,False,2023.1,,,lenet5,all,,rtl_sim,60.350647891,1,1,True,2,2,True,2,16436,16436,0,True,"2829,6029,6029,1349,197","2829,6029,6029,1349,197",16288,0
2026-09-25T08:15:19+00:00,8050f4474ff96102bb79b4ec3bc30dbe6341cf0f,False,2023.1,,,lenet5,all,,rtl_sim,60.350647891,1,2,True,1,1,True,1,16436,16436,0,True,"2829,6029,6029,1349,197","2829,6029,6029,1349,197",16288,0
2026-09-25T08:15:19+00:00,8050f4474ff96102bb79b4ec3bc30dbe6341cf0f,False,2023.1,,,lenet5,all,,rtl_sim,60.350647891,1,3,True,0,0,True,0,16436,16436,0,True,"2829,6029,6029,1349,197","2829,6029,6029,1349,197",16288,0
2026-09-25T08:15:19+00:00,8050f4474ff96102bb79b4ec3bc30dbe6341cf0f,False,2023.1,,,lenet5,all,,rtl_sim,60.350647891,1,4,True,4,4,True,4,16436,16436,0,True,"2829,6029,6029,1349,197","2829,6029,6029,1349,197",16288,0
2026-09-25T08:15:19+00:00,8050f4474ff96102bb79b4ec3bc30dbe6341cf0f,False,2023.1,,,lenet5,all,,rtl_sim,60.350647891,1,5,True,1,1,True,1,16436,16436,0,True,"2829,6029,6029,1349,197","2829,6029,6029,1349,197",16288,0
2026-09-25T08:15:19+00:00,8050f4474ff96102bb79b4ec3bc30dbe6341cf0f,False,2023.1,,,lenet5,all,,rtl_sim,60.350647891,1,6,True,4,4,True,4,16436,16436,0,True,"2829,6029,6029,1349,197","2829,6029,6029,1349,197",16288,0
2026-09-25T08:15:19+00:00,8050f4474ff96102bb79b4ec3bc30dbe6341cf0f,False,2023.1,,,lenet5,all,,rtl_sim,60.350647891,1,7,True,9,9,True,9,16436,16436,0,True,"2829,6029,6029,1349,197","2829,6029,6029,1349,197",16288,0
2026-09-25T08:15:19+00:00,8050f4474ff96102bb79b4ec3bc30dbe6341cf0f,False,2023.1,,,lenet5,all,,rtl_sim,60.350647891,1,8,True,5,5,True,5,16436,16436,0,True,"2829,6029,6029,1349,197","2829,6029,6029,1349,197",16288,0
2026-09-25T08:15:19+00:00,8050f4474ff96102bb79b4ec3bc30dbe6341cf0f,False,2023.1,,,lenet5,all,,rtl_sim,60.350647891,1,9,True,9,9,True,9,16436,16436,0,True,"2829,6029,6029,1349,197","2829,6029,6029,1349,197",16288,0
2026-09-25T08:15:19+00:00,8050f4474ff96102bb79b4ec3bc30dbe6341cf0f,False,2023.1,,,cifar10,all,,rtl_sim,60.350647891,1,0,True,3,3,True,3,104247,104247,0,True,"33629,64029,6429,157,0","33629,64029,6429,157,0",104128,0
2026-09-25T08:15:19+00:00,8050f4474ff96102bb79b4ec3bc30dbe6341cf0f,False,2023.1,,,cifar10,all,,rtl_sim,60.350647891,1,1,True,8,8,True,8,104247,104247,0,True,"33629,64029,6429,157,0","33629,64029,6429,157,0",104128,0
2026-09-25T08:15:19+00:00,8050f4474ff96102bb79b4ec3bc30dbe6341cf0f,False,2023.1,,,cifar10,all,,rtl_sim,60.350647891,1,2,True,8,8,True,8,104247,104247,0,True,"33629,64029,6429,157,0","33629,64029,6429,157,0",104128,0
2026-09-25T08:15:19+00:00,8050f4474ff96102bb79b4ec3bc30dbe6341cf0f,False,2023.1,,,cifar10,all,,rtl_sim,60.350647891,1,3,True,0,0,True,0,104247,104247,0,True,"33629,64029,6429,157,0","33629,64029,6429,157,0",104128,0
2026-09-25T08:15:19+00:00,8050f4474ff96102bb79b4ec3bc30dbe6341cf0f,False,2023.1,,,cifar10,all,,rtl_sim,60.350647891,1,4,True,6,6,True,6,104247,104247,0,True,"33629,64029,6429,157,0","33629,64029,6429,157,0",104128,0
2026-09-25T08:15:19+00:00,8050f4474ff96102bb79b4ec3bc30dbe6341cf0f,False,2023.1,,,cifar10,all,,rtl_sim,60.350647891,1,5,True,6,6,True,6,104247,104247,0,True,"33629,64029,6429,157,0","33629,64029,6429,157,0",104128,0
2026-09-25T08:15:19+00:00,8050f4474ff96102bb79b4ec3bc30dbe6341cf0f,False,2023.1,,,cifar10,all,,rtl_sim,60.350647891,1,6,True,9,9,True,1,104247,104247,0,True,"33629,64029,6429,157,0","33629,64029,6429,157,0",104128,0
2026-09-25T08:15:19+00:00,8050f4474ff96102bb79b4ec3bc30dbe6341cf0f,False,2023.1,,,cifar10,all,,rtl_sim,60.350647891,1,7,True,6,6,True,6,104247,104247,0,True,"33629,64029,6429,157,0","33629,64029,6429,157,0",104128,0
2026-09-25T08:15:19+00:00,8050f4474ff96102bb79b4ec3bc30dbe6341cf0f,False,2023.1,,,cifar10,all,,rtl_sim,60.350647891,1,8,True,3,3,True,3,104247,104247,0,True,"33629,64029,6429,157,0","33629,64029,6429,157,0",104128,0
2026-09-25T08:15:19+00:00,8050f4474ff96102bb79b4ec3bc30dbe6341cf0f,False,2023.1,,,cifar10,all,,rtl_sim,60.350647891,1,9,True,1,1,True,1,104247,104247,0,True,"33629,64029,6429,157,0","33629,64029,6429,157,0",104128,0
